2020-10-28 20:25:19.401 ERROR[http-nio-8081-exec-7]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 820394
2020-10-28 20:28:02.842 ERROR[http-nio-8081-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 113633
2020-10-28 20:52:54.302 ERROR[http-nio-8081-exec-10]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 1491452
2020-10-28 20:57:02.967 ERROR[http-nio-8081-exec-4]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 248658
2020-10-28 21:02:34.036 ERROR[http-nio-8081-exec-9]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 330783
2020-10-28 21:03:55.773 ERROR[http-nio-8081-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 81729
2020-10-28 21:15:48.353 ERROR[http-nio-8081-exec-2]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 684290
2020-10-28 21:17:16.619 ERROR[http-nio-8081-exec-8]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 64241
2020-10-28 21:19:23.964 ERROR[http-nio-8081-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 127337
2020-10-28 21:24:23.147 ERROR[http-nio-8081-exec-9]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 230213
2020-10-28 22:03:07.890 ERROR[http-nio-8081-exec-7]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 140368
2020-10-28 22:10:50.647 ERROR[http-nio-8081-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 177571
2020-10-28 22:21:05.565 ERROR[http-nio-8081-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 614912
2020-10-28 22:23:31.273 ERROR[http-nio-8081-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 125729
2020-10-28 22:27:42.357 ERROR[http-nio-8081-exec-5]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 251080
2020-10-28 22:29:05.390 ERROR[http-nio-8081-exec-2]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 80992
2020-10-28 23:14:49.015 ERROR[http-nio-8081-exec-9]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 313101
2020-10-28 23:42:32.394 ERROR[http-nio-8081-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 1663373
2020-10-28 23:44:59.776 ERROR[http-nio-8081-exec-10]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1481 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/education_website?useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 143467
